REG_ANS;VL_SALDO_FINAL
477;3471464925.58
515;212870514.29999998
582;25813366953.12
701;21018880711.43
884;2002597998.78
5711;204765489450.69
6246;142556255023.45
300136;580303238.09
300713;499250415.52
300730;20204384.26
300870;664860179.15
301060;267452643.73
301124;216408233.47
301574;821647845.6
301728;271929760.35
301744;344675176.46
301949;5913967922.9800005
302147;20993957093.8
302228;114916060.93
302627;166459664.82
302953;1857786786.1299999
303178;346154409.49
303267;1746545688.8899999
303356;2322624636.9
303623;2938244343.28
303739;743506065.26
303844;229738897.45
303976;6429357428.07
304051;976689824.64
304123;266165287.57
304131;412219214.72
304212;49837992.88
304344;372151232.41
304395;453147577.28
304441;110964660.7
304468;542085593.59
304484;410395679.58
304531;53392616.68
304701;14801211828.03
304883;886464509.27
305227;381705448.7
305421;21740494.39
305472;487142251.9
305626;220100209.14000002
305928;29905251.1
306045;185123048.09
306100;636564386.23
306126;662866542.11
306398;2421573067.7400002
306754;168627491.59
306762;696248762.15
306886;2338333011.08
307319;970597324.11
307751;532552492.19
308811;159046229.96
309028;247732584.14
309087;346527057.41
309222;9331041882.16
309524;149075721.97
309907;738960572.92
310239;122893923.05
310247;1098134061.83
310522;840861007.65
310981;159958915.55
311057;38747291.76
311146;417442791.88
311294;621404842.76
311359;884661081.59
311375;888159922.29
311391;49042235.8
311618;594854641.63
311715;635441341.23
311847;1364415362.94
311944;132146783.44
311961;3505494039.79
312126;8890428175.33
312282;170002965.01
312347;784815269.3
312363;28064184495.06
312592;580588733.01
312720;3290553727.34
312851;3649826508.65
313084;254117055.88
313149;84265558.03
313211;551630349.97
313475;66098664.57
313751;225486490.53
314099;892828723.4399999
314218;2700021021.56
314242;173062204.27
314251;286708345.28
314315;52975756.64
314366;25172422.67
314587;206144185.12
314668;877019744.65
314706;215588433.28
314781;141653143.44
315044;811055182.0
315265;358653416.76
315478;6538394892.14
315494;163559721.07
315567;581484874.39
315583;225520951.35
315648;187027300.21
315729;2302948749.47
315796;1883911789.19
316148;584166513.49
316458;107822860.42999999
316849;27315990.78
316873;541187840.91
316881;659609062.47
316903;4655794.5
316997;28929080.35
317012;248629298.79
317144;10243115681.94
317233;1214704197.84
317632;1153771352.0900002
317896;355064560.48
318035;263496184.65
318213;329669177.17
318299;1644027916.8500001
318388;442121246.9
318477;399637996.15999997
318566;604282476.86
319121;2659149899.85
319180;212601601.10999998
319384;849851554.26
319422;682271479.14
319708;1340925997.8
319872;34276089.64
319996;7145380831.92
320251;977611946.34
320706;1654355459.33
320820;184788259.68
320838;106985342.11
320862;470029992.38
320897;360040064.21
321044;3792044604.77
321087;231401388.91
321125;87190884.34
321273;2433936675.32
321320;114088558.37
321338;186990655.76
321931;832430021.45
321958;1205591742.82
322326;265819552.75
322571;588456294.76
322831;380763998.09000003
322890;38756402.58
323004;92476862.62
323055;272936679.94
323080;20963491825.05
323268;1479998709.06
323357;480740334.32
323926;445383580.19
323942;360750239.12
323993;824102704.4300001
324159;277640515.52
324175;302305414.43
324213;748850126.54
324299;135033694.79
324345;580462903.03
324361;1169581003.6299999
324477;1350867351.39
324493;775674350.01
324523;3577003.64
324566;458724333.65
325031;324603409.96
325082;278130115.65
325236;390084784.03000003
325465;169767873.5
325571;4124902055.82
326305;102351284929.93001
326500;1354348714.58
326755;1217519547.69
326861;1123799296.54
327328;8770233.11
327352;189911744.12
327417;916982821.73
327468;146821426.7
327557;418046400.89
327638;75329235.81
327689;4019587725.16
328031;37969478.68
328294;623902377.58
328308;169217006.85999998
328375;156401156.01
328537;825828482.5
329339;1455874723.36
329355;214933864.44
329886;394553613.69
330108;488237924.62
330116;670595467.13
330264;483423022.03
330281;173278361.61
330566;543123032.6
330809;444361836.36
330892;103836229.87
331104;19063735.83
331317;1336965126.51
331341;849883918.5799999
331651;429161611.69
331872;2531607770.72
331988;2383913197.38
333051;1098661879.23
333239;5031075.97
333662;880479854.37
333689;1936254163.3899999
333808;231244538.9
333867;64969873.24
333875;834087793.91
334154;446977000.87
334243;34262278.38
334511;44105080.519999996
334561;2767342915.4900002
334847;144265345.29
335100;5274603016.98
335215;653247815.46
335258;109195960.05
335479;1661931384.41
335517;409813685.46999997
335541;355545443.65
335592;4677427158.59
335614;7277578243.83
335657;133744063.81
335690;12019472902.56
335754;354695818.57
335789;111372229.42
336017;27277126.11
336106;1484830721.03
336467;92835786.3
336831;801150905.06
336858;2338075202.09
337188;1205023697.3700001
337374;1324215636.8799999
337498;324304581.93
337561;78638139.63
337668;2374640253.79
337871;809409640.16
338346;280945627.69
338648;886827504.67
339458;29659563.599999998
339679;36204220955.34
339954;3958655428.05
340162;39322193.43
340251;318521414.01
340782;3276982323.53
340952;1594801974.29
341819;6356692.0200000005
341941;130186365.09
342033;3399182152.5299997
342084;6004531195.2
342131;284120777.38
342157;78938040.88
342203;93694625.47
342343;425198383.54
342386;261152830.09
342556;1226263541.78
342611;576019044.05
342807;1067159120.72
342955;22102490.96
343056;22706743.080000002
343064;317495824.14
343129;127015514.08999999
343153;88442183.26
343269;3991471477.07
343331;328637113.53999996
343404;12540689.309999999
343463;302195336.72999996
343676;277685588.9
343684;304591606.04
343722;72888577.37
343731;5168021876.36
343765;119004805.08
343889;25854399075.42
344141;33045267.02
344184;17585156.98
344362;733054602.1999999
344397;1957111193.23
344451;94630434.14
344729;716646920.97
344788;76215312.09
344800;1125143936.57
344885;6781053671.08
344915;121191963.3
345091;288269046.33
345318;90065250.08
345458;304577497.78
345598;868754267.64
345709;604557313.06
345741;237088497.19
345776;244841372.34
346004;90034976.4
346209;494617798.12
346276;1102908645.73
346659;30669159028.13
346870;137840464.77
346926;5608544712.38
346951;256284771.09
347108;270500370.3
347507;933189863.47
347604;41554626.71
347655;677901044.6
347736;193108230.31
347795;37235189.33
347825;55571932.33
348082;1000366603.96
348180;1914864828.78
348244;464940239.35
348261;249728809.59
348295;4042562470.7400002
348520;4501356559.31
348830;1091487450.04
349534;592927502.23
349682;1209462134.19
349712;1556282468.61
350141;4499766460.9800005
350249;2542503388.58
350346;129905473.36
350371;949895528.52
350494;328598816.26
350648;176717778.54
350699;397966716.71
350770;22652691.64
351202;3418936478.9
351270;139796098.41
351407;643261938.95
351776;174265125.83
351792;235621359.1
352179;434985660.11
352314;410470170.15
352331;2832595341.58
352501;15636027238.14
352519;139724168.87
352543;751163792.48
352586;409460538.82
352683;1191151042.49
353027;296159196.23
353060;1029155175.55
353264;161268145.18
353353;2444208234.75
353663;1646771366.91
353698;129500890.87
353876;168260097.85
354031;1703519842.97
354066;1609898189.8400002
354279;347016261.8
354295;1437736122.15
354325;330865086.61
354511;585806551.92
354562;1001080670.06
354619;158053985.99
354627;14476573580.75
354678;97002842.27
354783;1329326289.93
354996;185580024.55
355097;3627178323.93
355151;1201703794.39
355577;349965213.26
355593;244317020.11
355691;2860793395.64
355721;3434323138.43
356123;707363362.18
356417;1854812718.62
356476;492758330.42
356581;274170595.19
357022;462601863.56
357138;700521614.39
357260;944897806.8
357391;7815596205.19
357511;4112024533.68
357669;81477419.43
357715;184451510.86
358053;316234749.31
358088;941403185.21
358096;385450649.78
358282;236697346.2
358339;39048527.9
358436;83687388.3
358754;232070202.51999998
359017;55214272177.2
359033;193556878.09
359122;366389013.79
359289;963880075.0699999
359661;8399487777.57
359777;1108832431.38
360244;1031682030.77
360414;301850365.74
360449;5731052641.35
360783;38519931.18
361011;2174800457.6
361461;331380172.67
361569;65642300.09
361593;62197512.13
361615;487992966.27
361941;395139424.03
362140;786230983.84
362573;194227658.04
362832;196710232.03
363189;42315242.6
363286;288906550.86
363391;67184903.07
363855;393544498.59000003
364070;127047996.58
364312;1312016269.97
364584;2084989668.25
364592;196572417.93
364860;864955066.52
365238;275590332.75
365530;197725925.86
365645;53896517.99
365777;337939216.98
365785;20845677.82
366064;300445144.17
366340;279958575.92
366439;98092555.74
366561;1157598723.81
367087;1460335031.67
367095;1223099703.67
367397;1497358901.22
367613;63978891.269999996
368148;307771460.96999997
368253;47189185302.96
368555;114486669.61
368920;400622291.75
369292;1421172329.4
369411;981519310.85
369659;2524551540.27
370070;2343663179.1
370088;328295141.42
370568;41246142.63
370592;86593429.74
370681;703503510.38
370711;24274852.64
370975;230329266.62
371106;828976902.09
371254;3368288555.34
371564;163300782.97
371629;761117878.62
371777;590389046.75
372561;334247205.63
372609;892807824.8
374440;406138049.52000004
378216;308001018.51
379280;719393042.11
379956;9692948892.36
380661;1625587026.79
381144;27488088.28
382281;22827849.5
382540;973295352.99
382639;7670575.26
382655;28956355.3
382876;10146097847.11
384577;3298566386.41
384704;126943383.05
385255;653148204.39
385620;274386864.7
385697;1920242113.78
386588;1286539782.49
386596;611407045.24
386901;117132907.11
387185;117653706.73
388092;38738693.07
389358;58678195.68
389854;57518071.42
390259;44286575.85
392804;1852197082.05
393533;62305390.86
394734;676028727.28
395480;373254023.32
397245;10742386.32
401081;839440856.35
401480;103699011.85
402001;47939901.5
402206;74144416.25
402966;652765121.68
403962;362642329.3
404241;61670566.87
406481;767074835.73
406554;2042152649.81
406635;34884107.800000004
406805;77936196.78
406813;25292336.01
406937;87357591.23
406945;210357528.82
407011;2131958214.41
407224;80475255.19
407534;20089642.009999998
407569;26765138.369999997
408026;22934307.4
408034;24533476.91
408093;19857135.84
408263;34331745.2
408522;206122630.49
408794;115308424.34
409243;755477312.38
409286;3824204.0900000003
409405;22647619.0
409413;51317864.4
409634;30879573.79
409791;26664495.07
410110;185412832.34
410128;152618949.17
410292;659186688.33
410608;57614283.62
410624;58529887.4
410888;92903524.42999999
411248;22219726.29
411256;1705334942.74
411582;238648887.54999998
411752;1434082978.08
411809;38212033.32
411868;42094480.29
412015;18536465.15
412058;172490630.35
412252;110213797.86
412295;269988613.95
412635;225844346.33
412759;212273995.64
412996;51134407.43
413160;191142598.26
413267;13039561.049999999
413283;41461918.78
413330;139632501.41
413372;291270547.5
413429;90223330.66
413518;68435314.62
413534;4359584759.93
413721;128551082.83
413747;20470518.66
414026;29802886.13
414204;35808746.06
414212;120092585.99
414310;485357368.07
414352;563292782.15
414387;63348093.800000004
414492;889417525.38
414573;307634355.65
414581;764366490.13
414654;82854933.2
414662;137528946.47
414689;15767247.33
414701;52898648.49
414905;133294908.60000001
414930;373183391.99
415014;438430603.28
415065;134091459.52000001
415081;21741882.3
415111;924027513.57
415243;21340636.71
415626;106935932.17
415693;484308291.17
415774;673924000.41
415901;8731753.43
415910;11694121.56
415936;134202823.64999999
415944;1350310.7
415987;27829964.81
416398;305985180.18
416401;981280571.1899999
416410;330598.66
416428;9121567350.69
416495;270654652.67
416525;69069956.86
416568;795080432.51
416584;172361416.44
416690;328336062.91
416738;357536858.23
416789;60259394.769999996
416801;541306982.38
417050;93398626.72999999
417092;3951734.9
417106;15127756.08
417122;6794307.28
417131;13140893.93
417165;9621318.63
417173;2023708841.76
417211;225862983.45
417220;14522966.989999998
417289;458440815.03
417297;372677446.9
417301;103721754.21
417424;154653488.68
417459;64387802.82
417475;41580270.1
417491;38967195.29
417505;2463318623.7
417530;1286193287.45
417548;771333989.83
417599;639541255.0
417602;11614278.12
417661;202387120.3
417696;5124564.81
417718;56654892.65
417751;1590660.18
417815;502865350.62
417831;16727980.66
417947;514597490.7
417955;236275379.33
418021;1372233442.43
418030;1795420.01
418072;38978048.03
418129;22760505.95
418137;134947937.82
418170;1352091257.38
418218;20128870.88
418226;54984633.56
418285;213395932.10999998
418374;558972064.64
418501;53364881.550000004
418528;84243228.31
418536;133036.1
418552;192688098.02
418587;202651143.16
418595;1916477.3
418617;147953413.01
418650;628054801.53
418692;6274248.33
418706;2261764.71
418731;198511485.34
418749;38448562.089999996
418803;426993420.73
418820;206446734.21
418919;224502114.49
418960;83427684.9
418986;34928630.43
418994;4763991.55
419010;1622469342.23
419028;14882926.22
419052;246621936.08
419079;18255564.37
419095;32334899.98
419133;5162993611.93
419141;485573462.06
419150;215404390.48000002
419249;1571912213.9
419257;3525631.98
419281;123746650.83
419290;226384334.12
419354;9499303.35
419389;66795407.86
419419;297241197.53000003
419427;216849203.56
419443;48739713.75
419486;265731819.87
419516;171202598.42000002
419524;12462425.08
419567;2906851.0100000002
419591;21204887.77
419699;167318958.75
419753;73374923.41
419851;41332563.980000004
419869;2043537.6199999999
419958;146038087.48
419974;39362359.8
420000;257707292.01
420051;21100014.919999998
420077;1765848697.25
420085;90884784.05
420093;19716638.3
420107;27843765.82
420123;36135406.57
420140;2323462.6
420158;422549575.45
420166;536232987.62
420701;114381947.61
420786;108483678.86
420816;15057243.41
420841;7974417.15
420859;40662266.2
420930;60123390.93
420981;35471574.589999996
420999;55203609.769999996
421006;216455025.06
421146;427994.68
421154;261683071.07
421189;377407517.5
421197;401953650.75
421243;11834024.620000001
421341;401604435.93
421359;67117831.07000001
421367;34397846.54
421375;36450.939999999995
421405;285418282.72
421421;982140611.63
421561;5005567.16
421618;22205024.94
421634;29312694.810000002
421642;58098.43
421707;56707171.44
421715;7865404383.5
421723;9422283.73
421731;276104813.98
421740;22818548.669999998
421758;149319.13
421766;239705708.52
421871;48177188.67
421928;1715632875.96
421944;230551652.26
422029;1203868855.82
422053;180072989.63
422070;253881592.33
422088;39761160.97
422126;55837796.01
422134;22594760.62
422151;72137445.27
422304;28552200.68
422321;240853618.38
422339;1756388987.63
422355;23001373.490000002
422371;113185005.16000001
422398;406177857.38
422401;39107.6
422479;8731131.14
422487;16991495.85
422576;624135.85
422584;117366200.33
422592;166070.1
422631;3305220809.31
422681;456973067.15
422746;11452732.33
422754;10637550.03
422762;292324640.28
422771;336086099.35
422827;120327240.5
422835;65236736.68
422941;5703910.78
422959;19729998.28
423041;3437768.86
423173;1199329724.02
423181;6405369.73
423203;26132257.28
423262;10197917.45
423319;201262555.95
423327;257591.4
423335;211857057.34
423351;99896302.71000001
423408;12677682.74
423432;12855639.42
423475;252309492.7
423505;23678778.23
423548;40079387.54
423564;8409675.59
423572;1616896.26
423629;79788851.85
423645;5238686.32
423661;268082593.51
423700;309556.0
423718;89594569.63
423785;15948842.84
423815;256999.85
423912;1661764.1400000001
424048;13576824.42
424129;668798225.81
424145;104624.04000000001
424170;3285855.08
424226;148212.3
424391;668620571.62
424421;609828.0
